project,HASH,DATE,Cyclomatic,PreDays,LA,LD,SIZE,SAME,CUR_file,PREV_file,Top_NS,Bottom_NS,NF,File_entropy,Churn_entropy,NC,NFC,Fuzzy_score,NB_score,NBM_score,DMN_score,COMP_score,crash_label
BrandroidTools_OpenExplorer,165009306acf375084ead8a0b2a5d70fc34b59e3,2011-10-24,2955,4.0,299,134,14539,4,12,4,1,1,4,1.66449777920046,1.0377730935129,7,0,0.4983568456656715,0.6862051165374842,0.6862051165374842,0.6862051165374842,0.92796214236326,NON_CRASH
BrandroidTools_OpenExplorer,f9010267566ed91ee2f98acc83c8ff8681b4e322,2011-10-26,3174,2.0,192,183,15420,12,21,12,1,2,2,0.721928094887362,0.876346228915261,5,0,0.4999988762949395,0.996628291830273,0.996628291830273,0.996628291830273,0.999426514508168,NON_CRASH
BrandroidTools_OpenExplorer,fd133dcdd858e745eda3d30c520503f7da555742,2011-11-07,3732,12.0,299,144,17871,21,23,21,1,2,2,0.468995593589281,0.103463852040146,10,0,0.4997281364485066,0.0791553984099022,0.0791553984099022,0.0791553984099022,0.3361461015725008,NON_CRASH
BrandroidTools_OpenExplorer,69daf2b5c0de3aa765bfe1e7117dc77195f4b347,2011-11-09,3753,2.0,190,88,17954,23,24,23,1,1,1,0.0,0.0,4,0,0.486369959202555,0.7053116849448013,0.7053116849448013,0.7053116849448013,0.933823835330269,NON_CRASH
BrandroidTools_OpenExplorer,de7416078675d387bd956e53b5d93871e82ab8cf,2011-11-10,3764,1.0,203,69,18015,10,10,24,1,1,1,0.0,0.0,2,0,0.4108640924751614,0.0077270555771041,0.0077270555771041,0.0077270555771041,0.0438597221068648,NON_CRASH
BrandroidTools_OpenExplorer,42327a8e27bad228c4e80dad8a666b84893ad608,2011-11-10,3797,0.0,171,47,18138,10,10,10,1,1,1,0.0,0.0,2,0,0.499999999971378,5.0649281195595884e-24,5.0649281195595884e-24,5.0649281195595884e-24,2.983559220427888e-23,NON_CRASH
BrandroidTools_OpenExplorer,ed50a4f5d3dc41d0915642a618c03a16f8b9876f,2011-11-15,3830,5.0,149,80,18286,10,11,10,1,2,3,1.37878349348618,1.03164871472491,7,0,0.499946800501707,0.090355187375353,0.090355187375353,0.090355187375353,0.3693375239504424,NON_CRASH
BrandroidTools_OpenExplorer,af6132eb6ca230a15b4fc28a70bda5fceb6b7873,2011-11-16,3845,1.0,76,48,18330,7,7,11,1,3,3,1.58496250072116,0.980195754287652,3,0,0.4999777415432107,0.154186921511029,0.154186921511029,0.154186921511029,0.5177998145267052,NON_CRASH
BrandroidTools_OpenExplorer,a93f71ca0e2dc4138e9ace5d0262f9474d971ad3,2011-11-19,3897,3.0,302,137,18493,7,17,7,1,3,4,1.5487949406954,1.09924365807299,8,0,0.4999994802046856,0.565860531970918,0.565860531970918,0.565860531970918,0.8848546027607702,NON_CRASH
BrandroidTools_OpenExplorer,a234cefe96c13c837a3c038a18c9ca8b9e041a50,2011-11-23,4111,4.0,29,6,19340,13,13,17,1,2,2,1.0,0.999411064738755,2,0,0.4998306018785768,0.8041000649143701,0.8041000649143701,0.8041000649143701,0.9603179549645114,NON_CRASH
BrandroidTools_OpenExplorer,63daa83f8302b6c98df870d40fbf250254e71df6,2011-11-29,4162,6.0,158,34,19685,13,17,13,1,3,3,1.5,1.12816947078333,4,0,0.5000194903699324,0.9754626080764136,0.9754626080764136,0.9754626080764136,0.9957478773173646,NON_CRASH
BrandroidTools_OpenExplorer,d434506972cb01d19e1ff93eb5b3a7871f25a7cd,2011-12-02,4443,3.0,266,55,20892,17,21,17,1,2,3,1.25162916738782,1.55176344382287,6,0,0.4988020458042543,0.1197726985295611,0.1197726985295611,0.1197726985295611,0.4449188780967604,NON_CRASH
BrandroidTools_OpenExplorer,de3275cfb166d3edbf485ae320aab5726588c5df,2011-12-11,4534,9.0,198,65,21286,16,16,21,1,3,3,1.37095059445467,0.606760165648607,5,0,0.3546497436897761,0.1558297726476962,0.1558297726476962,0.1558297726476962,0.5209307980824367,NON_CRASH
BrandroidTools_OpenExplorer,0d4bfb80321b479cb6907e36486b5221babb8c6f,2011-12-21,4617,10.0,1,1,21637,16,24,16,1,1,1,0.0,0.0,1,0,0.4444444443999999,0.2895140893910906,0.2895140893910906,0.2895140893910906,0.7059131229685813,NON_CRASH
BrandroidTools_OpenExplorer,a3546806dc453961396534edabb46081caff888a,2011-12-22,4628,1.0,42,41,21670,24,24,24,1,2,2,1.0,0.163860512869158,2,0,0.4998627397192409,0.9831056198431116,0.9831056198431116,0.9831056198431116,0.997091188451301,CRASH
BrandroidTools_OpenExplorer,2cf6e26360b04898c0b34e09000d9843538b46d9,2011-12-22,4853,0.0,616,44,22939,17,17,24,1,4,4,2.0,0.652104315961284,4,0,0.454412957560746,0.3113070906492113,0.3113070906492113,0.3113070906492113,0.7271539054793961,NON_CRASH
BrandroidTools_OpenExplorer,da78f0a3e318c305cf7d8868bac153265d639610,2011-12-22,4853,0.0,570,0,22939,11,11,17,1,1,1,0.0,0.0,1,0,0.4972701310927848,0.5394149658910197,0.5394149658910197,0.5394149658910197,0.873496433796468,NON_CRASH
BrandroidTools_OpenExplorer,816d7f3aba1a1776e8821fca9a4aefd416b04d11,2011-12-26,4857,4.0,17,12,22958,2,2,11,1,1,1,0.0,0.0,1,0,0.4999985320601475,0.0970788446516078,0.0970788446516078,0.0970788446516078,0.3877571795148531,CRASH
BrandroidTools_OpenExplorer,e8d41c14dc81401e20957cdbab680f367fd64537,2011-12-26,4835,0.0,81,17,22797,2,11,2,1,3,4,1.92192809488736,1.63722457018779,5,0,0.4999923107627784,0.2963706795680638,0.2963706795680638,0.2963706795680638,0.7129193614081081,CRASH
BrandroidTools_OpenExplorer,e08a37136ba37f102b02014036ef5767cbcc8d26,2012-01-02,4910,7.0,186,66,23038,11,21,11,1,4,5,2.0588138903312,1.95546186812106,9,0,0.4999993728254457,0.0602357807139592,0.0602357807139592,0.0602357807139592,0.2742597363974561,NON_CRASH
BrandroidTools_OpenExplorer,55f9e6fd4cc8996d7ced70b443eac093b3feb9fe,2012-01-05,4989,3.0,83,50,23280,16,16,21,1,3,3,1.37878349348618,1.30252185013733,7,0,0.4999875027683271,0.9886884565884896,0.9886884565884896,0.9886884565884896,0.998063242412106,NON_CRASH
BrandroidTools_OpenExplorer,7afd9b0094f84a0241c83e7f53856afafe3a72a3,2012-01-19,5140,14.0,510,848,23989,16,20,16,1,4,6,2.40563906222957,1.51014787222967,8,0,0.4999999999747076,0.2354995481512601,0.2354995481512601,0.2354995481512601,0.6447059311162598,NON_CRASH
BrandroidTools_OpenExplorer,0bb9c98b486177d1f7a6743eded9453833007232,2012-01-24,5292,5.0,1260,1067,24782,20,20,20,1,5,7,2.5220552088742,0.871742957141306,12,0,0.4999999999748828,0.999750629952342,0.999750629952342,0.999750629952342,0.9999576578568156,NON_CRASH
BrandroidTools_OpenExplorer,7eb847ef7231f85ded0bd13208fc4d270db889b7,2012-01-28,5356,4.0,278,87,25025,17,17,20,1,6,10,3.18872187554087,1.9036147836904,12,0,0.499999950104519,0.8770594533859102,0.8770594533859102,0.8770594533859102,0.9767570481111998,NON_CRASH
BrandroidTools_OpenExplorer,d93c4f9d0780569d8ed0df5d5db3163e060382a1,2012-01-28,5366,0.0,101,182,25085,13,13,17,1,4,7,2.8073549220576,1.6094984281813,7,0,0.4911587934724047,0.3231694298702218,0.3231694298702218,0.3231694298702218,0.7377134505587077,NON_CRASH
